StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
1001,21,Female,Caucasian,Some College,19.833722807854713,7,Yes,Moderate,0,0,1,0,4.2
1002,22,Male,Caucasian,High School,15.40875605584674,0,No,Low,0,0,0,0,4.28
1003,19,Male,Asian,Bachelor's,4.21056976881226,26,No,Moderate,0,0,0,0,2.08
1004,21,Female,Caucasian,Bachelor's,10.028829473958215,14,No,High,1,0,0,0,3.54
1005,21,Female,Caucasian,Some College,4.6724952729713305,17,Yes,High,0,0,0,0,2.97
1006,22,Male,Caucasian,High School,8.191218545250186,0,No,Low,1,0,0,0,4.31
1007,19,Male,African American,High School,15.601680474699295,10,No,High,0,1,0,0,4.06
1008,19,Female,African American,Higher,15.424496305808074,22,Yes,Low,1,0,0,0,3.02
1009,21,Male,Caucasian,No,4.562007558047703,1,No,Moderate,0,1,0,1,4.17
1010,20,Female,Caucasian,High School,18.444466363097202,0,No,High,1,0,0,0,4.68
1011,21,Male,Caucasian,High School,11.851363655296536,11,No,Low,0,0,0,0,3.61
1012,21,Male,Caucasian,High School,,15,No,Moderate,0,0,0,1,3.17
1013,21,Male,African American,High School,10.038711615617213,21,No,High,1,0,0,0,3.14
1014,21,Male,African American,Some College,12.101425068754875,21,No,Very High,0,1,0,0,3.31
1015,22,Female,Caucasian,High School,11.197810636915708,9,Yes,Moderate,0,0,0,0,3.8
1016,19,Male,Caucasian,Some College,9.728100710723563,17,Yes,Very Low,0,1,0,0,3.01
1017,22,Male,Other,High School,10.098656081788002,14,No,Moderate,1,1,0,0,3.67
1018,22,Female,Caucasian,No,3.5282382085577235,16,Yes,Moderate,0,0,0,0,3.04
1019,22,Male,African American,Bachelor's,16.25465808609359,29,No,Moderate,1,0,0,1,2.35
1020,21,Male,Caucasian,High School,10.835206398820308,9,No,Moderate,0,0,1,0,3.8
1021,20,Female,Caucasian,Bachelor's,2.621597234094062,2,No,High,0,0,0,1,4.08
1022,19,Male,Caucasian,Some College,15.323142031655559,25,No,Low,1,0,0,0,2.26
1023,20,Female,African American,No,18.648879567547016,29,Yes,Low,0,0,0,0,2.23
1024,22,Female,Other,Higher,18.94613798473924,20,No,Moderate,1,0,0,0,3.33
1025,22,Female,Caucasian,High School,7.380354648223455,15,No,Moderate,0,0,0,0,3.13
1026,20,Female,Caucasian,Bachelor's,2.7103374712150807,5,No,Very High,0,0,1,0,4.23
1027,20,Male,Caucasian,High School,10.367992532661303,2,No,Moderate,0,1,0,0,4.21
1028,20,Female,Caucasian,Bachelor's,2.2521845869844137,8,No,High,0,0,1,0,3.61
1029,22,Male,Caucasian,No,18.679748370252344,10,No,High,1,0,0,0,4.14
1030,22,Male,Caucasian,Some College,3.67159254710292,20,No,High,1,0,0,0,3.14
